Aarhus,AAR,Tirstrup
Kyzyl,KYZ,Kyzyl
Buenaventura,BUN,Buenaventura
Buenos Aires,AEP,Arpt. Jorge Newbery
Buenos Aires,EZE,Ezeiza Ministro Pistarini
Buenos Aires,BAI,Buenos Aires
Buffalo,ZFZ,Buffalo Depew Rr
Buffalo,ZXS,ExchangeSt Railway Svc
Buffalo,BYG,Municipal
Magdagachi,GDG,Magdagachi
Neftekamsk,NEF,Neftekamsk
Bujumbura,BJM,International
Khabarovsk,KHV,Novyy
Bukhara,BHK,Bukhara
Bukoba,BKZ,Bukoba
Dikson,DKS,Dikson
Igarka,IAA,Igarka
Bullhead City,IFP,Laughlin Bullhead Intl
Bunbury,BUY,Bunbury
Bundaberg,BDB,Bundaberg
Inta,INA,Inta
Burbank,BUR,Bob Hope
Cherskiy,CYX,Cherskiy
Burketown,BUC,Burketown
Burlington,BRL,Burlington
Burlington,BBF,Burlington
Burlington,BTV,International
Burnie,BWT,Burnie Wynyard
Magadan,GDX,Magadan
Burns Lake,YPZ,Burns Lake
Bursa,BTZ,Bursa Airport
Bursa,YEI,Yenisehir
Busan,PUS,Gimhae
Butler,BUM,Butler
Butler,BTP,Graham Field
Butte,BTM,Butte
Butterworth,BWH,Butterworth
Butterworth,UTE,Butterworth
Neryungri,NER,Neryungri
Ca Mau,CAH,Ca Mau
Cabimas,CBS,Oro Negro
Cabinda,CAB,Cabinda
Cabo Frio,CFB,Cabo Frio
Cacador,CFC,Cacador
Cozumel,CZM,Cozumel
Isla Mujeres,ISJ,Isla Mujeres
Caceres,CCX,Caceres
Cancun,CUN,Cancun
Cadillac,CAD,Cadillac
Caen,CFR,Carpiquet
Ciudad Juarez,CJS,Intl Abraham Gonzalez
Magdalena,MGD,Magdalena
Cagliari,CAG,Cagliari Elmas - Mario Mameli
Nuevo Laredo,NLD,Intl Quetzalcoatl
Matamoros,MAM,Matamoros
Ciudad Mante,MMC,Ciudad Mante
Cairns,CNS,Cairns
Ciudad Obregon,CEN,Ciudad Obregon
Cairo,CAI,International
Cairo,CIR,Cairo
Guaymas,GYM,Gen Jose M Yanez
Cananea,CNA,Cananea
Calabar,CBQ,Calabar
Calabozo,CLZ,Calabozo
Cordoba,COR,Pajas Blancas
Cordoba,ODB,Cordoba
Calais,CQF,Calais
Calama,CJC,El Loa
Kuching,KCH,Kuching
Kuching,ZGY,Kuching Port
Kuala Lumpur,KUL,Kuala Lumpur International Airport (klia)
Kuala Lumpur,SZB,Sultan Abdul Aziz Shah
Caldwell,CDW,Caldwell Wright
Caledonia,CDE,Caledonia
George Town,GGT,Exuma International
George Town,GEE,George Town
Calexico,CXL,International
Lahad Datu,LDU,Lahad Datu
Calgary,YYC,Calgary International Airport
Johor Bahru,JHB,Sultan Ismail Intl
Keluang,KLQ,Keluang
Cali,CLO,Alfonso B. Aragon
Kuala Terengganu,TGG,Sultan Mahmood
Ipoh,IPH,Ipoh
Kuantan,KUA,Kuantan
Kuantan,ZJB,Kuantan Port
Kota Kinabalu,BKI,Kota Kinabalu
Kota Kinabalu,ZWR,Kota Kinabalu Port
Calipatria,CLR,Calipatria
Malacca,MKZ,Batu Berendum
Caloundra,CUD,Caloundra
Miri,MYY,Miri
Camaguey,CMW,Ign Agramonte Intl
Cambridge,CBG,Cambridge
Cambridge,JHY,Hyatt Regency H/P
Cambridge,CGE,Cambridge
Cambridge Bay,YCB,Cambridge Bay
Nampula,APL,Nampula
Camden,CDH,Harrell Fld
Camden,CDU,Camden
Camden,CDN,Woodward Fld
Cameta,CMT,Cameta
Cuamba,FXO,Cuamba
Inhambane,INH,Inhambane
Lichinga,VXC,Lichinga
Camiri,CAM,Camiri
Camocim,CMC,Camocim
Nacala,MNC,Nacala
Montepuez,MTU,Montepuez
Camooweal,CML,Camooweal
Maputo,MPM,Maputo International
Chimoio,VPY,Chimoio
Campbell River,YBL,Campbell River
Campbell River,YHH,Harbor SPB
Karasburg,KAS,Karasburg
Campina Grande,CPV,Joao Suassuna
Luderitz,LUD,Luderitz
Grootfontein,GFY,Grootfontein
Campinas,CPQ,International
Campo Grande,CGR,Internacional
Gobabis,GOG,Gobabis
Campos,CAW,Bartolomeu Lisandro
Keetmanshoop,KMP,J.G.H. Van Der Wath
Can Tho,VCA,Can Tho
Niamey,NIM,Niamey
Canakkale,CKZ,Canakkale
Maradi,MFQ,Maradi
Gaya,GAY,Gaya
Canas,CSC,Canas
Canavieiras,CNV,Canavieiras
Canberra,CBR,Canberra
Cangamba,CNZ,Cangamba
Maiduguri,MIU,Maiduguri
Jos,JOS,Jos
Canon City,CNE,Canon City
Lagos,LOS,Murtala Muhammed
Canton,CTK,Canton
Ilorin,ILR,Ilorin
Minna,MXJ,Minna
Ibadan,IBA,Ibadan
Cape Dorset,YTE,Cape Dorset
Kaduna,KAD,Kaduna
Cape Girardeau,CGI,Cape Girardeau
Kano,KAN,Aminu Kano Intl Apt
Makurdi,MDI,Makurdi
Enugu,ENU,Enugu
Nha Trang,NHA,Nha Trang
Nha Trang,CXR,Cam Ranh
Hue,HUI,Phu Bai
Caracas,CCS,Maiquetia
Dien Bien Phu,DIN,Dien Bien
Carbondale,MDH,Southern Illinois
Cardiff,CWL,Cardiff-wales Arpt
Caribou,CAR,Municipal
Kabul,KBL,Khwaja Rawash
Kandahar,KDH,Kandahar
Carlisle,CAX,Carlisle
Herat,HEA,Herat
Ghazni,GZI,Ghazni
Carlsbad,CNM,Carlsbad
Jalalabad,JAA,Jalalabad
Khost,KHT,Khost
Farah,FAH,Farah
Carora,VCR,Carora
Carrizo Springs,CZT,Carrizo Springs
Carroll,CIN,Carroll
Carson City,CSN,Carson City
Cartagena,CTG,Rafael Nunez
Cartago,CRC,Cartago
Cartwright,YRF,Cartwright
Caruaru,CAU,Caruaru
Carupano,CUP,Carupano
Casa Grande,CGZ,Municipal
Cascavel,CAC,Cascavel
Casper,CPR,Casper
Castlebar,CLB,Castlebar
Castro,WCA,Gamboa
Cat Lake,YAC,Cat Lake
Lubango,SDD,Lubango
Huambo,NOV,Huambo
Catalao,TLZ,Catalao
Luena,LUO,Luena
Catamarca,CTC,Catamarca
Catania,CTA,Fontanarossa
Luanda,LAD,4 de Fevereiro
Menongue,SPP,Menongue
Luau,UAL,Luau
Cazombo,CAV,Cazombo
Kuito,SVP,Kuito (Silva Porto)
Namibe,MSZ,Namibe
Dundo,DUE,Dundo
General Roca,GNR,General Roca
Cedar City,CDC,Cedar City
La Rioja,IRJ,La Rioja
Cedar Rapids,CID,Cedar Rapids
Ceduna,CED,Ceduna
Centerville,GHM,Municipal
Central,CEM,Central
Centralia,ENL,Municipal
Centralia,YCE,Centralia
Corrientes,CNQ,Camba Punta
Formosa,FMA,El Pucu
Las Lomitas,LLS,Las Lomitas
La Plata,LPG,La Plata
Ceres,CRR,Ceres
El Maiten,EMX,El Maiten
Ceuta,JCU,Ceuta Heliport
Mendoza,MDZ,El Plumerillo
Neuquen,NQN,Neuquen
Chadron,CDR,Chadron
Malargue,LGS,Malargue
Charleville,CTL,Charleville
Charters Towers,CXT,Charters Towers
Kalbarri,KAX,Kalbarri
Kununurra,KNX,Kununurra
Dalby,DBY,Dalby
Manjimup,MJP,Manjimup
Champaign,CMI,University Of Illinois Willard
Maitland,MTL,Maitland
Chanaral,CNR,Chanaral
Karratha,KTA,Karratha
Geelong,GEX,Geelong
Geelong,AVV,Avalon
Georgetown,GED,Sussex County
Georgetown,GTT,Georgetown
Georgetown,GGE,Georgetown
Georgetown,GCM,Owen Roberts International
Chandigarh,IXC,Chandigarh
Geraldton,YGQ,Geraldton
Geraldton,GET,Geraldton
Maryborough,MBH,Maryborough
Chandler,SLJ,Stellar Air Park
Chandler,CHD,Williams AFB
Changchun,CGQ,Changchun
Changde,CGD,Changde
Echuca,ECH,Echuca
Emerald,EMD,Emerald
Changsha,CSX,Changsha
Mount Gambier,MGB,Mount Gambier
Changzhi,CIH,Changzhi
Mount Isa,ISA,Mount Isa
Mount Magnet,MMG,Mount Magnet
Changzhou,CZX,Changzhou
Kempsey,KPS,Kempsey
Chanute,CNU,Martin Johnson
Chaoyang,CHG,Chaoyang Airport
Chapleau,YLD,Chapleau
Kingaroy,KGY,Kingaroy
Charata,CNT,Charata
Hobart,HBR,Hobart
Hobart,HBA,Hobart
Charles City,CCY,Municipal
Darwin,DRW,Darwin
Darwin,XJG,Darwin Railway
Charleston,CHS,AFB Municipal
Charleston,CRW,Yeager
Meekatharra,MKR,Meekatharra
Melbourne,MLB,Melbourne Intl
Melbourne,KAH,City Heliport
Melbourne,MEB,Essendon
Melbourne,MEL,Tullamarine
Moranbah,MOV,Moranbah
Gladstone,GLT,Gladstone
Gold Coast,OOL,Gold Coast (Coolangatta)
Horsham,HSM,Horsham
Hughenden,HGD,Hughenden
Charlotte,CLT,Douglas
Charlotte,QWG,Wilgrove Air Park
Nowra,NOA,Nowra
Charlottesville,CHO,Albemarle
Charlottetown,YHG,Charlottetown
Charlottetown,YYG,Charlottetown
Ingham,IGH,Ingham
Innisfail,IFL,Innisfail
Inverell,IVR,Inverell
Kingston,KIN,Norman Manley
Kingston,KTP,Tinson
Kingston,YGK,Kingston
Chatham,CYM,Chatham SPB
Chatham,XCM,Chatham
Merimbula,MIM,Merimbula
Mildura,MQL,Mildura
Chattanooga,CHA,Lovell Field
Longreach,LRE,Longreach
Devonport,DPO,Devonport
Chehalis,CLS,Centralia
Cowell,CCW,Cowell
Cowra,CWT,Cowra
Goondiwindi,GOO,Goondiwindi
Goulburn,GUL,Goulburn
Grafton,GFN,Grafton
Chemnitz,ZTZ,Chemnitz Railway Stn.
Newman,ZNE,Newman
Chengdu,CTU,Chengdu
Kalgoorlie,KGI,Kalgoorlie
Cheongju,CJJ,Cheongju
Deniliquin,DNQ,Deniliquin
Cheraw,HCW,Cheraw
Cherbourg,CER,Maupertus
Lismore,LSY,Lismore
Chesapeake,HTW,Huntington County
Chester,CEG,Chester
Cheyenne,CYS,Cheyenne
Cheyenne,FEW,Warren AFB
Chiang Mai,CNX,International
Chiang Rai,CEI,Chiang Rai
Chiayi,CYI,Chiayi
Chicago,CHI,Chicago FSS
Chicago,NOH,Chicago NAS
Chicago,RFD,Chicago Rockford
Chicago,DPA,Dupage County
Chicago,GYY,Gary Regional
Chicago,CGX,Merrill C Meigs
Chicago,MDW,Midway
Chicago,PWK,Pal-Waukee
Chicago,OAR,Ohara International
Chickasha,CHK,Municipal
Chico,CIC,Chico
Chifeng,CIF,Chifeng
Chillan,YAI,Chillan
Chilliwack,YCW,Chilliwack Municipal Airport
Mercedes,MDX,Mercedes
Chino,CNO,Chino
Las Heras,LHS,Las Heras
Chiquimula,CIQ,Chiquimula
General Pico,GPO,General Pico
Concordia,COC,Concordia
Concordia,CNK,Blosser Municipal
Concordia,CCI,Concordia
El Calafate,FTE,El Calafate
Chos Malal,HOS,Oscar Reguera
Chittagong,CGP,Patenga
Gualeguaychu,GHU,Gualeguaychu
Esquel,EQS,Esquel
Chlef,CFK,Abou Bakr Belkaid
Lincoln,LNK,Municipal
Goya,OYA,Goya
Chongqing,CKG,Chongqing Jiangbei International
Chumphon,CJM,Chumphon Airport
Coronel Suarez,CSZ,Brigadier Hector Ruiz
Necochea,NEC,Necochea
Cienfuegos,CFG,Cienfuegos
Innsbruck,INN,Kranebitten
Cilacap,CXP,Tunggul Wulung
Linz,LNZ,Blue Danube
Cincinnati,CVG,Cinci./Nrthrn Kentucky
Cincinnati,LUK,Municipal
Graz,GRZ,Thalerhof
Klagenfurt,KLU,Alpe Adria
Cirebon,CBN,Penggung
Ciudad Bolivar,CBL,Ciudad Bolivar
Cooma,OOM,Cooma
Karumba,KRB,Karumba
Ciudad Guayana,CGU,Ciudad Guayana
Esperance,EPR,Esperance
Forbes,FRB,Forbes
Morawa,MWB,Morawa
Moree,MRZ,Moree
Katherine,KTR,Tindal
Launceston,LST,Launceston
Laverton,LVO,Laverton
Newcastle,NCL,Newcastle Airport
Newcastle,BEO,Belmont
Newcastle,NTL,Williamtown
Newcastle,ECS,Mondell
Newcastle,NCS,Newcastle
Claremont,CNH,Municipal
Norseman,NSM,Norseman
Clarinda,ICL,Municipal
Griffith,GFF,Griffith
Clarksburg,CKB,Benedum
Katanning,KNI,Katanning
Clarksdale,CKM,Fletcher Field
Clarksville,CKV,Outlaw Field
Mackay,MKY,Mackay
Clayton,CAO,Clayton
Clear Lake,CKE,Clear Lake
Clearlake,CLC,Metroport
Hervey Bay,HVB,Hervey Bay
Clearwater,CLW,Executive
Gunnedah,GUH,Gunnedah
Gympie,GYP,Gympie
Clemson,CEU,Oconee County
Halls Creek,HCQ,Halls Creek
Hamilton,HAB,Marion County
Hamilton,HLZ,Hamilton
Hamilton,HAO,Hamilton
Hamilton,YHM,Hamilton
Hamilton,HLT,Hamilton
Clermont,CMQ,Clermont
Mudgee,DGE,Mudgee
Clermont-Ferrand,CFE,Aulnat
Dubbo,DBO,Dubbo
Cleveland,BKL,Burke Lakefront
Cleveland,CGF,Cuyahoga County
Cleveland,CLE,Hopkins International
Clifton,CFT,Morenci
Perth,JAD,Jandakot
Clinton,CWI,Clinton
Clinton,CTZ,Sampson County
Clinton,CLK,Municipal
Clinton,CSM,Sherman
Narrabri,NAA,Narrabri
Narrogin,NRG,Narrogin
Cloncurry,CNJ,Cloncurry
Clovis,CVS,Cannon AFB
Clovis,CVN,Municipal
Coffs Harbour,CFS,Coffs Harbour
Colac,XCO,Colac
Nieuw Nickerie,ICK,Nieuw Nickerie
Coalinga,CLG,Coalinga
Coari,CIZ,Coari
Moengo,MOJ,Moengo
Coatesville,CTH,Chestercounty Carlson
Coban,CBV,Coban
La Union,LUI,La Union
Cobija,CIJ,E. Beltram
Cochabamba,CBB,J Wilsterman
Cochrane,LGR,Cochrane
Cochrane,YCN,Cochrane
Cocoa,COI,Merritt Island
Cocoa,COF,Patrick AFB
Damascus,DAM,International
Coffeyville,CFV,Municipal
Coimbatore,CJB,Peelamedu
Colby,CBK,Municipal
Manzini,MTS,Matsapha Intl
Moundou,MQQ,Moundou
College Park,CGS,College Park
Ndjamena,NDJ,Ndjamena
College Station,CLL,Easterwood Field
Lai,LTC,Lai
Collinsville,KCE,Collinsville
Mongo,MVO,Mongo
Mao,AMO,Mao
Cologne,CGN,Cologne/bonn
Lome,LFW,Lome
Colorado Springs,FCS,Butts AAF
Colorado Springs,COS,Colorado Springs
Colorado Springs,AFF,USAF Academy
Columbia,COA,Columbia
Columbia,COU,Columbia Regional
Columbia,MMT,Mc Entire ANG Base
Columbia,CAE,Metropolitan Airport
Columbia,CUB,Owens Field
Columbia,MRC,Maury County
Columbus,LSF,Lawson AAF
Columbus,MKF,Mckenna AAF
Columbus,CLU,Columbus Municipal
Columbus,CBM,Columbus AFB
Columbus,GTR,Golden Triangle Reg.
Columbus,UBS,Lowndes County
Columbus,OLU,Columbus
Columbus,CUS,Municipal
Columbus,OSU,Ohio State University
Columbus,CMH,Port Columbus Intl
Columbus,LCK,Rickenbacker
Lampang,LPT,Lampang
Nakhon Phanom,KOP,Nakhon Phanom
Lop Buri,KKM,Lop Buri
Loei,LOE,Loei
Mae Hong Son,HGN,Mae Hong Son
Comayagua,XPL,Palmerola Air Base
Comilla,CLA,Comilla
Narathiwat,NAW,Narathiwat
Hat Yai,HDY,Hat Yai
Compton,CPM,Compton
Conakry,CKY,Conakry
Mae Sot,MAQ,Mae Sot
Khon Kaen,KKC,Khon Kaen
Krabi,KBV,Krabi
Concord,CCR,Buchanan Fld
Concord,CON,Concord
Nan,NNT,Nan
Hua Hin,HHQ,Hua Hin Airport
Dushanbe,DYU,dyu
Connersville,CEV,Mettle Field
Conroe,CXO,Montgomery Co
Mary,MYP,Mary
Constantine,CZL,Ain El Bey
Gabes,GAE,Gabes
Gafsa,GAF,Gafsa
Mahdia,MHA,Mahdia
Isparta,ISE,Isparta
Copiapo,CPO,Chamonate
Coquimbo,COW,Coquimbo
Coral Harbour,YZS,Coral Harbour
Corcoran,CRO,Corcoran
Corinth,CRX,Roscoe Turner
Mardin,MQM,Mardin
Cork,ORK,Cork
Gaziantep,GZT,Gaziantep
Corner Brook,YNF,Deer Lake/Stephenville
Corning,ELM,Corning
Cornwall,YCC,Regional
Coro,CZE,Coro
Kahramanmaras,KCM,Kahramanmaras
Kayseri,ASR,Erkilet International Airport
Corozal,CZH,Corozal
Corozal,CZU,Corozal
Corpus Christi,NGW,Cabaniss Field
Corpus Christi,CUX,Cuddihy Field
Corpus Christi,CRP,International
Corpus Christi,NGP,NAS
Corsicana,CRS,Corsicana
Cortez,CEZ,Montezuma County
Cortland,CTX,Cortland
Corumba,CMG,Internacional
Nevsehir,NAV,Nevsehir
Cotonou,COO,Cotonou
Cottbus,CBU,Cottbus
Cottbus,ZTT,Cottbus Railway Stn.
Cottonwood,CTW,Cottonwood
Kastamonu,KFS,Kastamonu
Council Bluffs,CBF,Municipal
Courtenay,YCA,Courtenay
Konya,KYA,Konya
Coventry,CVT,Coventry - West Midlands International Airport
Eskisehir,ESK,Eskisehir
Eskisehir,AOE,Anadolu University
Craig,CGA,Craig SPB
Craig,CIG,Craig-Moffat
Cranbrook,YXC,Cranbrook
Istanbul,IST,Ataturk
Istanbul,SAW,Sabiha Gokcen
Denizli,DNZ,Cardak
Crescent City,CEC,Mc Namara Fld
Creston,CFQ,Creston
Creston,CSQ,Municipal
Crestview,CEW,Bob Sikes
Criciuma,CCM,Criciuma
Malatya,MLX,Malatya
Crookston,CKN,Municipal
Elazig,EZS,Elazig
Crossett,CRT,Municipal
Crossville,CSV,Memorial
Crotone,CRV,Crotone
Croydon,CDQ,Croydon
Crystal Lake,CYE,Crystal Lake
Erzincan,ERC,Erzincan
Cucuta,CUC,Camilo Dazo
Mus,MSR,Mus
Izmir,ADB,Adnan Menderes Arpt
Izmir,IGL,Cigli Military Arpt
Cuenca,CUE,Cuenca
Kars,KSY,Kars
Cuiaba,CGB,M. Rondon
Diyarbakir,DIY,Diyarbakir
Erzurum,ERZ,Erzurum
Culver City,CVR,Hughes
Cumana,CUM,Cumana
Cumberland,CBE,Wiley Ford
Curitiba,CWB,Afonso Pena International Airport
Cushing,CUH,Municipal
Nangan,LZN,Nangan
Hualien,HUN,Hualien
Da Nang,DAD,Da Nang
Daegu,TAE,Daegu
Hsinchu,HSZ,Hsinchu
Kaohsiung,KHH,International
Mtwara,MYW,Mtwara
Mbeya,MBI,Mbeya
Musoma,MUZ,Musoma
Kigoma,TKQ,Kigoma
Lindi,LDI,Kikwetu
Iringa,IRI,Nduli
Dalhart,DHT,Dalhart
Dalian,DLC,Dalian
Dodoma,DOD,Dodoma
Dallas,ADS,Addison Airport
Dallas,DNE,Dallas North Airport
Dallas,DFW,Dallas/Ft Worth Intl
Dallas,JDB,Downtown Heliport
Dallas,DAL,Love Field
Dallas,JMD,Market Centre H/P
Dallas,JNH,North Park Inn H/P
Dallas,RBD,Redbird
Masasi,XMI,Masasi
Dalton,DNN,Municipal
Daman,NMB,Daman
Geita,GIT,Geita
Njombe,JOM,Njombe
Kiev,KBP,Borispol
Kiev,QOF,Darnitsa Bus Station
Kiev,QOH,Hotel Rus Bus Station
Kiev,IEV,Zhulhany
Danbury,DXR,Danbury
Kherson,KHE,Kherson
Dandong,DDG,Dandong
Donetsk,DOK,Donetsk
Dangriga,DGA,Dangriga
Danville,DNV,Vermilion County
Danville,DAN,Municipal
Lutsk,UCK,Lutsk
Mariupol,MPW,Mariupol
Kramatorsk,KRQ,Kramatorsk
Datong,DAT,Datong
Kasese,KSE,Kasese
Dauphin,YDN,Dauphin
Jinja,JIN,Jinja
Davenport,DVN,Davenport
Masindi,KCU,Masindi
Dawson City,YDA,Dawson City
Dawson Creek,YDQ,Dawson Creek
Dayton,DAY,James Cox Dayton Intl
Dayton,MGY,Montgomery Co
Dayton,FFO,Patterson AFB
Dayton,DWF,Wright AFB
Daytona Beach,DAB,Regional
Mbarara,MBQ,Mbarara
Dearborn,DEO,Hyatt Regency H/P
Dease Lake,YDL,Dease Lake
Debrecen,DEB,Debrecen
Decatur,DCU,Pyor
Decatur,DEC,Decatur Arpt
Decatur,DCR,Decatur Hi-Way
Decorah,DEH,Municipal
Gulu,ULU,Gulu
Moyo,OYG,Moyo
Dedougou,DGU,Dedougou
Deer Lake,YDF,Deer Lake
Deer Lake,YVZ,Deer Lake
Entebbe,EBB,Entebbe
Deer Park,DPK,Deer Park
Defiance,DFI,Memorial
Dehra Dun,DED,Dehra Dun
Del Rio,DRT,International
Del Rio,DLF,Laughlin AFB
Delhi,DEL,Indira Gandhi Intl
Delta,DTA,Delta
Deming,DMN,Deming
Montevideo,MVE,Municipal
Montevideo,MVD,Carrasco International Airport
Denison,DNS,Municipal
Durazno,DZO,Durazno
Denver,APA,Arapahoe Co
Denver,BFK,Buckley ANGB
Denver,DEN,Denver International
Melo,MLZ,Melo
Derby,DRB,Derby
Des Moines,DSM,Des Moines
Destin,DSI,Destin
Nukus,NCU,Nukus
Detroit,DET,Detroit City
Detroit,DTW,Wayne County
Detroit,YIP,Willow Run
Navoi,NVI,Navoi
Detroit Lakes,DTL,Municipal
Namangan,NMA,Namangan
El Dorado,ELD,Goodwin Field
El Dorado,EDK,El Dorado
El Dorado,EOR,El Dorado
Dezful,DEF,Dezful
Dhaka,DAC,Zia International
El Tigre,ELX,El Tigre
Dhanbad,DBD,Dhanbad
Guasdualito,GDO,Vare Maria
Diapaga,DIP,Diapaga
Guanare,GUQ,Guanare
La Guaira,LAG,La Guaira
Dibrugarh,DIB,Chabua
Maracaibo,MAR,La Chinita
Maracay,MYC,Maracay
Dickinson,DIK,Dickinson
Maturin,MUN,Quiriquire
Diebougou,XDE,Diebougou
Dieppe,DPE,Dieppe
Digby,YDG,Digby
Dijon,DIJ,Dijon
Dillon,DLN,Dillon
Dillon,DLL,Dillon
Long Xuyen,XLO,Long Xuyen
Hanoi,HAN,Noibai International
Haiphong,HPH,Catbi
Dire Dawa,DIR,Aba Tenna D Yilma
Diu,DIU,Diu
Ho Chi Minh City,SGN,Tan Son Nhat
Divinopolis,DIQ,Divinopolis
Londrina,LDB,Londrina
Djanet,DJG,Inedbirenne
Djibo,XDJ,Djibo
Djibouti,JIB,Ambouli
Guarapuava,GPB,Tancredo Thomaz Faria
Djougou,DJA,Djougou
Mossoro,MVF,Dixsept Rosado
Maringa,MGF,Regional De Maringa SBMG
Jacareacanga,JCR,Jacareacanga
Erechim,ERM,Comandante Kraemer
Dodge City,DDC,Dodge City Municipal
Ijui,IJU,J.Batista Bos Filho
Dolbeau,YDO,St Methode
Doncaster,DSA,Robin Hood International
Donegal,CFN,Donegal
Dongguan,DGM,Dongguan
Natal,NAT,Augusto Severo
Itaituba,ITB,Itaituba
Joacaba,JCB,Joacaba
Manaus,MAO,Eduardo Gomes Intl
Dori,DOR,Dori
Joinville,JOI,Cubatao
Ji-Parana,JPR,Ji-Parana
Dourados,DOU,Dourados
Dortmund,DTM,Dortmund
Dothan,DHN,Dothan Arpt
Douala,DLA,Douala
Douglas,DUG,Bisbee-Douglas Intl
Douglas,DGL,Douglas Municipal
Douglas,DGW,Converse County
Douglas,DGF,Bisbee-douglas International
Downey,JDY,Heliport
Floriano,FLB,Cangapara
Doylestown,DYL,Doylestown
Dresden,DRS,Dresden Arpt
Dryden,YHD,Municipal
Dublin,DBN,Municipal
Dublin,DUB,Dublin
Dublin,PSK,New River Valley
Itumbiara,ITR,Itumbiara
Dubrovnik,DBV,Dubrovnik
Goiania,GYN,Santa Genoveva
Dubuque,DBQ,Municipal
Manicore,MNX,Manicore
Duluth,DLH,Duluth International
Duluth,LKI,Lakeside USAF
Dunbar,DNB,Dunbar
Duncan,DUC,Halliburton Field
Dundee,DND,Dundee
Dundee,ZDU,ScotRail
Dunedin,DUD,Dunedin International
Maceio,MCZ,Palmares
Dunhuang,DNH,Dunhuang
Irece,IRE,Irece
Dunkirk,DKK,Dunkirk
Jatai,JTI,Jatai
Durant,DUA,Eaker
Joao Pessoa,JPA,Castro Pinto
Mato Grosso,MTG,Mato Grosso
Januaria,JNA,Januaria
Dusseldorf,DUS,Düsseldorf International Airport (Rhein-Ruhr)
Dusseldorf,MGL,Moenchen-Gl. - DUS Exp
Dusseldorf,NRN,Weeze
Dusseldorf,QDU,Station
Jequie,JEQ,Jequie
Guanambi,GNM,Guanambi
Ilheus,IOS,Eduardo Gomes
Itabuna,ITN,Itabuna
Fortaleza,FOR,Pinto Martins
Eagle,EAA,Eagle
Eagle Pass,EGP,Maverick Co
East Stroudsburg,ESP,Birchwood-Pocono
Nanuque,NNU,Nanuque
Easton,ESN,Easton
Easton,ESW,State
Ipatinga,IPN,Usiminas
Eau Claire,EAU,Eau Claire
Montes Claros,MOC,Montes Claros
Ebolowa,EBW,Ebolowa
Leopoldina,LEP,Leopoldina
Florianopolis,FLN,Hercilio Luz
Edgewood,EDG,Weide AAF
Edinburgh,EDI,Turnhouse
Edinburgh,ZXE,ScotRail
Edmonton,YEG,International
Edmonton,YXD,Edmonton City Center
Edmonton,YED,Namao Fld
Maraba,MAB,Maraba
Egilsstadir,EGS,Egilsstadir
Gurupi,GRP,Gurupi
Macae,MEA,Macae
Marilia,MII,Dr Gastao Vidigal
Franca,FRC,Franca
Maues,MBZ,Maues
Guaratingueta,GUJ,Guaratingueta
Eirunepe,ERN,Eirunepe
Imperatriz,IMP,Imperatriz
El Banco,ELB,San Bernado
Niquelandia,NQL,Niquelandia
El Cajon,CJN,El Cajon
Macapa,MCP,Internacional
Itacoatiara,ITA,Itacoatiara
El Centro,NJK,NAF
El Golea,ELG,El Golea
El Minya,EMY,El Minya
El Monte,EMT,El Monte
Ghanzi,GNZ,Ghanzi
El Oued,ELU,Guemar
Maun,MUB,Maun
El Paso,BIF,Biggs AAF
El Paso,ELP,International
Kasane,BBK,Kasane
Gaborone,GBE,Sir Seretse Khama Int
Jwaneng,JWA,Jwaneng
Lobatse,LOQ,Lobatse
Francistown,FRW,Francistown
Minsk,MHP,Minsk International 1
Minsk,MSQ,Minsk International 2
Karamay,KRY,Karamay
Jiamusi,JMU,Jiamusi
Eldoret,EDL,Eldoret
Golmud,GOQ,Golmud
Jiayuguan,JGN,Jiayuguan
Ganzhou,KOW,Ganzhou
Elizabeth City,ECG,Elizabeth City
Elizabethtown,EKX,Elizabethtown
Elk City,ELK,Municipal
Elkhart,EKI,Municipal
Hotan,HTN,Hotan
Elkins,EKN,Elkins
Elko,EKO,Elko
Heihe,HEK,Heihe
Ellensburg,ELN,Bowers Field
Emden,EME,Emden
Emeryville,JEM,Heliport
Korla,KRL,Korla
Hami,HMI,Hami
Kuqa,KCA,Kuqa
Emporia,EMP,Emporia
Lanzhou,LHW,Lanzhou Airport
Lanzhou,LZD,Lanzhoudong
Lanzhou,ZGC,Zhongchuan
Hefei,HFE,Shanghai
Ende,ENE,Ende
Endicott,BGM,Endicott
Hanzhong,HZG,Hanzhong
Houma,HUM,Terrebonne
Enid,WDG,Enid Woodring Mun.
Enid,END,Vance AFB
Nantong,NTG,Nantong
Enniskillen,ENK,Enniskillen
Hangzhou,HGH,Hangzhou
Huangyan,HYN,Huangyan
Enterprise,ETS,Municipal
Fuyang,FUG,Fuyang
Ephrata,EPH,Ephrata
Leticia,LET,Gen. A.V. Cobo
Ibague,IBE,Ibague
Nuqui,NQU,Nuqui
Erfurt,ERF,Erfurt
Erie,ERI,International
Neiva,NVA,La Marguita
Medellin,MDE,Jose Marie Cordova
Ipiales,IPI,San Luis
Esbjerg,EBJ,Esbjerg
Escanaba,ESC,Delta County Arpt
Monteria,MTR,S. Jeronimo
Esmeraldas,ESM,Esmeraldas
Guapi,GPI,Guapi
Espanola,ESO,Espanola
Magangue,MGN,Baracoa
Lorica,LRI,Lorica
